prompt,layer_22,layer_17,layer_9,layer_10,layer_0,layer_19,layer_7,layer_18,layer_6,layer_1,layer_11,layer_16,layer_8,layer_23,cfg,layer_2,layer_5,layer_15,layer_12,layer_20,layer_21,layer_13,layer_14,layer_4,layer_3
a shipping container on a dock near the water with the word 'EXPORT' painted on it,1.0,0.8571428571428571,1.0,1.0,1.0,0.8571428571428571,0.5217391304347826,1.0,0.631578947368421,0.8571428571428571,1.0,0.8,0.6,0.7058823529411765,1.0,0.6666666666666666,1.0,0.7058823529411765,0.6,1.0,0.7058823529411765,0.7058823529411765,1.0,1.0,1.0
a manual reading 'User Guide',0.43478260869565216,0.5882352941176471,0.425531914893617,0.5882352941176471,0.0,0.6060606060606061,0.40816326530612246,0.6060606060606061,0.4166666666666667,0.0,0.43478260869565216,0.6060606060606061,0.425531914893617,0.3076923076923077,0.425531914893617,0.4444444444444444,0.45454545454545453,0.6060606060606061,0.425531914893617,0.6060606060606061,0.6060606060606061,0.425531914893617,0.4444444444444444,0.45454545454545453,1.0
a warning sign that reads 'Wet Floor',1.0,1.0,1.0,1.0,0.9473684210526315,0.7777777777777778,1.0,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9411764705882353,1.0,1.0,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,1.0,0.9473684210526315
a card that reads 'Happy Birthday',0.17177914110429449,0.9032258064516129,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9333333333333333,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9333333333333333,0.8125,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9333333333333333,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9333333333333333
a delivery box on a wooden porch with a label that says 'books inside',1.0,0.8,1.0,0.9166666666666666,0.96,0.5789473684210527,0.75,0.7058823529411765,0.88,1.0,1.0,0.96,1.0,0.625,0.96,1.0,0.8,0.8,1.0,0.9230769230769231,0.96,0.8275862068965517,0.9565217391304348,0.8571428571428571,0.8275862068965517
"A pile of old vinyl records, with the album titles and artist names visible on the covers.",0.1589958158995816,0.25136612021857924,0.14893617021276595,0.17679558011049723,0.061224489795918366,0.21551724137931033,0.21390374331550802,0.2375,0.2648401826484018,0.21518987341772153,0.16753926701570682,0.1875,0.16666666666666666,0.13872832369942195,0.25,0.18579234972677597,0.1827956989247312,0.18633540372670807,0.21649484536082475,0.2074688796680498,0.24770642201834864,0.26373626373626374,0.2131979695431472,0.25870646766169153,0.26277372262773724
A green sign on a door with the word 'EXIT'.,0.75,1.0,1.0,1.0,1.0,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0,0.5333333333333333,0.8888888888888888,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0
a thermos with 'Keep Cold' written on it,0.3333333333333333,0.15384615384615385,0.3333333333333333,1.0,1.0,0.3076923076923077,0.16666666666666666,0.3333333333333333,0.5714285714285714,0.16666666666666666,1.0,0.3076923076923077,0.3076923076923077,0.2727272727272727,0.3333333333333333,0.46153846153846156,1.0,0.16666666666666666,0.9473684210526315,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0.3076923076923077,0.9473684210526315
a delivery person standing outside an apartment building with a box labeled 'FRAGILE',0.2978723404255319,0.56,0.5185185185185185,0.4666666666666667,0.0,0.19718309859154928,0.3684210526315789,0.32558139534883723,0.4827586206896552,0.35,0.9333333333333333,0.4666666666666667,0.32558139534883723,0.22580645161290322,0.3684210526315789,0.5384615384615384,0.4375,0.4,0.18666666666666668,0.4,0.3111111111111111,0.3111111111111111,0.2641509433962264,0.32558139534883723,0.4117647058823529
a newspaper with headline 'Local News Today',0.02151983860121049,0.015503875968992248,0.03508771929824561,0.05565217391304348,0.16666666666666666,0.018089315997738834,0.04790419161676647,0.050473186119873815,0.06477732793522267,0.011243851018973999,0.06866952789699571,0.015023474178403756,0.07476635514018691,0.10996563573883161,0.05228758169934641,0.0599250936329588,0.016780283167278448,0.05574912891986063,0.017582417582417582,0.015151515151515152,0.017699115044247787,0.0365296803652968,0.0215633423180593,0.05714285714285714,0.011527377521613832
"A brand name 'COLA' in an elegant, flowing, script font.",0.75,0.75,1.0,0.5,0.8571428571428571,0.5714285714285714,0.75,1.0,1.0,0.5,1.0,0.75,1.0,0.13953488372093023,1.0,0.75,0.75,1.0,0.75,0.75,0.75,0.5714285714285714,1.0,0.5714285714285714,0.75
a diploma with 'Bachelor of Arts' written on it,0.048327137546468404,0.04220779220779221,0.04133545310015898,0.04861111111111111,1.0,0.047021943573667714,0.04451510333863275,0.05235602094240838,0.03840472673559823,0.0512,0.045454545454545456,0.043209876543209874,0.043209876543209874,0.10702341137123746,0.056925996204933584,0.052805280528052806,0.04113924050632911,0.05244755244755245,0.04878048780487805,0.044444444444444446,0.0375,0.05454545454545454,0.0548885077186964,0.05565217391304348,0.052202283849918436
A university building with 'LIBRARY' carved in stone above the entrance.,0.7142857142857143,0.4444444444444444,0.2545454545454545,0.4666666666666667,1.0,0.56,0.4117647058823529,0.6666666666666666,0.46153846153846156,0.2553191489361702,0.4375,0.3181818181818182,0.5,0.5217391304347826,0.46153846153846156,0.4666666666666667,0.4,0.2962962962962963,0.30434782608695654,0.2608695652173913,1.0,0.5833333333333334,0.4444444444444444,0.34285714285714286,0.27906976744186046
a clipboard with 'Survey' written on top,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7272727272727273,0.9090909090909091,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a man reading a newspaper at a café table with the headline 'city plans expansion',0.16589861751152074,0.28346456692913385,0.22988505747126436,0.2413793103448276,0.975609756097561,0.28368794326241137,0.2331288343558282,0.2773722627737226,0.2222222222222222,0.3418803418803419,0.3225806451612903,0.1951219512195122,0.1532567049808429,0.30158730158730157,0.1782178217821782,0.2733812949640288,0.35185185185185186,0.17560975609756097,0.21978021978021978,0.1589958158995816,0.18823529411764706,0.24836601307189543,0.37623762376237624,0.1895734597156398,0.22485207100591717
a coaster reading 'Cheers',0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231
a coffee cup with 'Morning Fuel' printed on it,1.0,0.6666666666666666,0.3333333333333333,0.8,0.4166666666666667,0.6956521739130435,0.9230769230769231,0.7692307692307693,0.5,1.0,0.88,0.32,0.9230769230769231,0.375,0.88,0.9166666666666666,0.2222222222222222,0.16,0.8461538461538461,0.7741935483870968,0.72,0.96,0.8888888888888888,0.38461538461538464,0.42105263157894735
a bandage box labeled 'First Aid',1.0,1.0,1.0,1.0,0.9,0.75,1.0,1.0,0.43902439024390244,1.0,0.8181818181818182,0.8181818181818182,1.0,0.391304347826087,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.6923076923076923,0.8571428571428571,0.9473684210526315
a mug with 'Coffee Lover' written on it,0.43478260869565216,0.5833333333333334,0.36363636363636365,0.43478260869565216,0.0,0.34782608695652173,0.24,0.43478260869565216,0.4,0.38461538461538464,0.5217391304347826,0.5,0.24,0.3333333333333333,0.34782608695652173,0.3333333333333333,0.24,0.5217391304347826,0.25,0.36363636363636365,0.4166666666666667,0.43478260869565216,0.2727272727272727,0.43478260869565216,0.2727272727272727
a poster that says 'Rock Concert',0.24,0.96,0.24242424242424243,0.16296296296296298,0.8461538461538461,0.47058823529411764,0.29508196721311475,0.23076923076923078,0.23076923076923078,0.96,0.2376237623762376,0.35294117647058826,0.8333333333333334,0.15625,0.8275862068965517,0.6666666666666666,0.9565217391304348,0.22641509433962265,0.22018348623853212,0.8,0.2682926829268293,0.625,1.0,0.7333333333333333,0.9166666666666666
a jersey with number '10' on it,0.6666666666666666,0.0,0.2857142857142857,0.4,0.0,0.0,0.2222222222222222,0.6666666666666666,0.4,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666
"A page from a novel, filled with dense paragraphs of text.",0.04765687053216839,0.03668261562998405,0.047244094488188976,0.04829308909242298,0.10303030303030303,0.044755244755244755,0.05331040412725709,0.056022408963585436,0.048903878583473864,0.04326923076923077,0.05335628227194492,0.045705279747832936,0.03397027600849257,0.05652535328345802,0.06346328195829556,0.05087440381558029,0.06785411365564037,0.06333973128598848,0.05221174764321972,0.04537521815008726,0.057007125890736345,0.05060918462980318,0.04061738424045491,0.04842259721203228,0.04292929292929293
a magazine with 'Sports Weekly' on the cover,0.030828516377649325,0.03418803418803419,0.027303754266211604,0.028708133971291867,0.35714285714285715,0.026785714285714284,0.03698435277382646,0.039097744360902256,0.03636363636363636,0.026420079260237782,0.02841530054644809,0.03616133518776078,0.039735099337748346,0.06811145510835913,0.021248339973439574,0.06615776081424936,0.03143893591293833,0.03017832647462277,0.03084223013048636,0.04316546762589928,0.03018867924528302,0.029714285714285714,0.029850746268656716,0.04238921001926782,0.03576751117734724
"A large Viking runestone in a forest, with carved runes visible.",0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.03076923076923077,0.0,0.18421052631578946,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.030303030303030304,0.0,0.0,0.0
a ticket reading 'Concert Admit One',0.27450980392156865,0.29473684210526313,0.20833333333333334,0.2803738317757009,0.6111111111111112,0.2882882882882883,0.27522935779816515,0.30612244897959184,0.2222222222222222,0.3333333333333333,0.25225225225225223,0.2828282828282828,0.24390243902439024,0.28865979381443296,0.29357798165137616,0.24528301886792453,0.27419354838709675,0.297029702970297,0.2085889570552147,0.33766233766233766,0.2978723404255319,0.32608695652173914,0.25862068965517243,0.17679558011049723,0.2689075630252101
a billboard reading 'Visit Miami',0.45454545454545453,0.43478260869565216,0.46808510638297873,0.625,1.0,1.0,0.4489795918367347,0.8333333333333334,0.8695652173913043,0.34375,0.43478260869565216,1.0,0.43137254901960786,0.9090909090909091,1.0,0.36666666666666664,0.9090909090909091,1.0,1.0,0.9523809523809523,0.7333333333333333,1.0,1.0,0.45,1.0
a lunch box with 'Emma's Lunch' written on it,0.13333333333333333,0.25,0.35294117647058826,0.1111111111111111,0.2222222222222222,0.3076923076923077,0.25,0.26666666666666666,0.10526315789473684,0.11764705882352941,0.125,0.10526315789473684,0.09523809523809523,0.3333333333333333,0.11764705882352941,0.25,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.21052631578947367,0.5714285714285714,0.125,0.1,0.2222222222222222,0.3157894736842105
a whiteboard with 'Meeting at 3pm' written on it,1.0,1.0,1.0,0.5,0.0,1.0,0.9655172413793104,1.0,0.358974358974359,1.0,1.0,0.9655172413793104,1.0,0.6111111111111112,1.0,0.9333333333333333,0.7857142857142857,0.4827586206896552,1.0,1.0,1.0,0.8235294117647058,1.0,1.0,1.0
