prompt,layer_21,layer_2,layer_5,layer_13,layer_14,layer_15,layer_12,layer_4,layer_3,layer_20,layer_11,layer_9,layer_16,layer_18,layer_0,layer_7,layer_23,layer_22,layer_6,layer_19,layer_1,cfg,layer_17,layer_10,layer_8
a phone case that says 'Dream Big',1.0,0.3448275862068966,0.2857142857142857,0.64,0.8235294117647058,0.7,0.8,0.8888888888888888,0.5714285714285714,0.7272727272727273,0.34782608695652173,0.8181818181818182,0.37037037037037035,0.48,1.0,1.0,0.5454545454545454,0.5454545454545454,0.6923076923076923,0.75,0.8888888888888888,0.5833333333333334,1.0,0.8421052631578947,0.5714285714285714
a fox walking through a snowy forest trail past a wooden post labeled 'trail marker 3',0.35294117647058826,0.56,0.5454545454545454,0.42105263157894735,0.4,0.5,0.6086956521739131,0.5217391304347826,0.2727272727272727,0.6956521739130435,0.47619047619047616,0.5,0.35294117647058826,0.47619047619047616,0.3333333333333333,0.5714285714285714,0.3,0.4444444444444444,0.2222222222222222,0.5454545454545454,0.5714285714285714,0.38095238095238093,0.4,0.4,0.6
a war memorial in a foggy park surrounded by autumn leaves with an inscription that reads 'for those who served',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a cat sitting on a windowsill in a sunny room beside a pillow labeled 'nap spot',0.5,1.0,0.875,0.8,1.0,0.875,0.4,0.9411764705882353,0.9411764705882353,0.875,0.8,0.9333333333333333,0.47058823529411764,0.8,0.0,0.5,0.8235294117647058,0.9333333333333333,0.4444444444444444,0.5,0.47058823529411764,0.875,0.9411764705882353,0.8235294117647058,1.0
A metal plaque on a wall engraved with 'This building was dedicated in 1950'.,0.1640378548895899,0.918918918918919,0.33519553072625696,0.28169014084507044,0.6470588235294118,0.7555555555555555,0.15347721822541965,0.46153846153846156,0.2391304347826087,0.7472527472527473,0.32460732984293195,0.8461538461538461,0.26291079812206575,0.2147239263803681,0.821917808219178,0.31794871794871793,0.2108843537414966,0.18435754189944134,0.3973509933774834,0.22040816326530613,0.26382978723404255,0.3113207547169811,0.7469879518072289,0.2558139534883721,0.28440366972477066
A framed piece of intricate Arabic calligraphy.,0.04,0.07407407407407407,0.21428571428571427,0.03773584905660377,0.07272727272727272,0.12,0.0,0.0,0.0,0.0,0.04081632653061224,0.0784313725490196,0.0,0.0,0.0,0.0784313725490196,0.07547169811320754,0.04,0.0,0.0,0.07272727272727272,0.08,0.297029702970297,0.11764705882352941,0.0
a man sitting at a bus stop in the city next to an advertisement reading 'Ride Smart',0.2222222222222222,0.22727272727272727,0.19230769230769232,0.23529411764705882,0.23809523809523808,0.2564102564102564,0.2,0.38461538461538464,0.24096385542168675,0.23255813953488372,0.2898550724637681,0.29411764705882354,0.15503875968992248,0.26666666666666666,1.0,0.23809523809523808,0.4878048780487805,0.273972602739726,0.3076923076923077,0.21052631578947367,0.4878048780487805,0.38461538461538464,0.2222222222222222,0.25316455696202533,0.1941747572815534
a bandana with 'Wild West' printed on it,1.0,1.0,0.8181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.782608695652174,1.0,1.0,1.0,0.6666666666666666,0.782608695652174,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a child painting with watercolors on the floor next to a paper labeled 'My Art',0.5,0.35294117647058826,0.5,0.5,0.5,0.35294117647058826,0.32,0.15384615384615385,0.8333333333333334,0.3333333333333333,0.5,0.625,0.47058823529411764,0.5,0.0,0.5,0.5,0.4,0.4444444444444444,0.18181818181818182,1.0,0.5,0.5,0.5,0.7272727272727273
a water bottle with 'Hydrate Daily' on it,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.0,0.0,0.0,0.0
a shoe with 'Nike' on the side,0.0,0.0,0.0,0.2857142857142857,0.0,0.4444444444444444,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.25,0.0,0.2857142857142857,0.0,0.0,0.3333333333333333,0.2857142857142857,0.4,0.8571428571428571
"A computer screen with the word 'WELCOME' in a pixelated, 8-bit font.",0.19718309859154928,1.0,0.2916666666666667,0.21428571428571427,0.9333333333333333,0.14084507042253522,0.2,0.18421052631578946,0.0967741935483871,0.24561403508771928,0.1308411214953271,0.56,0.24561403508771928,0.18867924528301888,0.6666666666666666,0.19047619047619047,0.2564102564102564,0.6,0.12280701754385964,1.0,0.30434782608695654,0.13725490196078433,1.0,0.5384615384615384,0.25925925925925924
a luggage tag that says 'Vacation Bound',0.8666666666666667,1.0,1.0,0.75,0.8484848484848485,0.9655172413793104,0.9629629629629629,1.0,0.9655172413793104,0.8571428571428571,0.4745762711864407,0.9629629629629629,1.0,1.0,0.9655172413793104,0.9285714285714286,0.8235294117647058,0.52,1.0,1.0,1.0,1.0,0.9285714285714286,0.896551724137931,0.9655172413793104
A wooden door with a brass nameplate that says 'Dr. Evans'.,0.0,0.9411764705882353,1.0,0.8888888888888888,1.0,0.9411764705882353,0.8888888888888888,1.0,0.8235294117647058,0.8888888888888888,1.0,0.9,1.0,1.0,0.8888888888888888,0.8888888888888888,0.9473684210526315,0.8888888888888888,0.9473684210526315,0.8888888888888888,0.875,1.0,1.0,0.8888888888888888,1.0
a messenger bag with 'Urban Style' printed on it,0.13333333333333333,0.4,0.125,0.2222222222222222,0.375,0.3333333333333333,1.0,0.375,1.0,1.0,1.0,1.0,0.2608695652173913,0.375,1.0,1.0,1.0,0.3333333333333333,0.13333333333333333,0.375,0.125,0.3333333333333333,0.375,0.375,0.375
a flyer advertising 'Pizza Sale Today',0.08913649025069638,0.10094637223974763,0.09169054441260745,0.08743169398907104,0.11347517730496454,0.09907120743034056,0.09696969696969697,0.093841642228739,0.093841642228739,0.12355212355212356,0.1095890410958904,0.10727969348659004,0.12075471698113208,0.09580838323353294,0.9333333333333333,0.1032258064516129,0.11149825783972125,0.07017543859649122,0.10738255033557047,0.07390300230946882,0.15151515151515152,0.09785932721712538,0.07028753993610223,0.10423452768729642,0.10273972602739725
A police car with the word 'POLICE' written on the side.,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.5,0.2926829268292683,0.5882352941176471,0.375,0.2857142857142857,0.23076923076923078,1.0,0.38461538461538464,0.2,0.45454545454545453,0.14285714285714285,0.3076923076923077,0.27906976744186046,0.5263157894736842,0.631578947368421,0.23529411764705882,1.0,0.35294117647058826,1.0,0.8333333333333334,0.2553191489361702,0.32
a greeting card saying 'Thank You',0.8235294117647058,0.5333333333333333,0.5333333333333333,0.6666666666666666,0.8888888888888888,0.7058823529411765,0.5,0.5333333333333333,0.5,0.625,0.6666666666666666,0.47058823529411764,0.7058823529411765,0.5333333333333333,0.8421052631578947,0.375,0.75,0.5882352941176471,0.5333333333333333,0.7058823529411765,0.9473684210526315,0.7777777777777778,0.7058823529411765,0.625,0.7058823529411765
a menu board outside a small street café displaying the phrase 'fresh soup today',0.03400637619553666,0.03814064362336114,0.04155844155844156,0.03292181069958848,0.03587443946188341,0.02518891687657431,0.037037037037037035,0.036322360953461974,0.03444564047362755,0.03636363636363636,0.030895983522142123,0.03343782654127482,0.032160804020100506,0.04177545691906005,0.9142857142857143,0.026785714285714284,0.12972972972972974,0.06751054852320675,0.05228758169934641,0.028699551569506727,0.03088803088803089,0.04040404040404041,0.03282051282051282,0.04020100502512563,0.03532008830022075
a person jogging along a city sidewalk wearing a shirt that says 'Run Free',0.875,0.9411764705882353,0.9333333333333333,0.9333333333333333,0.8235294117647058,0.9333333333333333,0.8235294117647058,0.875,0.9333333333333333,0.8235294117647058,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.875,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.875,0.9333333333333333,0.875,0.875,0.9333333333333333
"A person looking at their smartwatch, which displays the message 'New Notification'.",0.39473684210526316,0.625,0.6976744186046512,0.3492063492063492,0.6511627906976745,0.4230769230769231,0.7777777777777778,0.9032258064516129,0.3561643835616438,0.4057971014492754,0.6,0.7777777777777778,0.44776119402985076,0.9333333333333333,0.9333333333333333,0.39215686274509803,0.3013698630136986,0.46153846153846156,0.4,0.3157894736842105,0.7,0.5283018867924528,0.2571428571428571,0.6511627906976745,0.8108108108108109
"A handwritten note that says 'I Owe You' in messy, scrawled, quick handwriting.",0.875,0.875,0.875,0.875,0.5833333333333334,0.875,0.5185185185185185,0.875,0.875,0.875,0.5,0.875,0.875,0.6363636363636364,1.0,0.875,0.34146341463414637,0.5,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.56
a pen with 'Bank of America' written on it,0.7857142857142857,0.9375,0.8666666666666667,1.0,0.8666666666666667,0.9655172413793104,0.9333333333333333,1.0,0.9333333333333333,0.896551724137931,0.9333333333333333,1.0,0.9333333333333333,0.875,0.9655172413793104,1.0,0.7058823529411765,0.896551724137931,0.7741935483870968,0.9032258064516129,0.9333333333333333,1.0,0.8275862068965517,1.0,1.0
a flag with 'Welcome Home' written on it,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a news broadcast set with cameras and screens in the background and a headline that reads 'breaking: storm alert',0.8,0.7567567567567568,0.42857142857142855,0.975609756097561,0.975609756097561,0.95,0.975609756097561,0.975609756097561,0.975609756097561,0.8888888888888888,0.975609756097561,0.8695652173913043,0.975609756097561,0.975609756097561,0.46153846153846156,0.9523809523809523,0.975609756097561,0.8636363636363636,0.8695652173913043,0.9090909090909091,0.723404255319149,0.975609756097561,0.8085106382978723,0.975609756097561,0.975609756097561
a price tag showing '$9.99',0.6,0.6,0.6,0.6,0.6,0.36363636363636365,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.25,0.6,0.36363636363636365,0.6,0.36363636363636365,0.6,0.6,0.3333333333333333,0.6,0.6,0.6
a mailbox standing at the end of a gravel driveway with '27 river road' painted on the side,0.42424242424242425,0.6451612903225806,0.7272727272727273,0.6,0.9629629629629629,0.8275862068965517,0.7692307692307693,0.5925925925925926,0.6086956521739131,0.625,0.5925925925925926,0.6923076923076923,0.5161290322580645,0.8148148148148148,0.75,0.64,0.96,0.7692307692307693,0.9166666666666666,0.72,0.9230769230769231,0.6666666666666666,0.6470588235294118,0.7692307692307693,0.5185185185185185
A colorful storefront with a sign that says 'Flower Shop'.,0.29411764705882354,0.35555555555555557,0.6153846153846154,0.6060606060606061,0.32727272727272727,0.47058823529411764,0.64,1.0,0.24175824175824176,0.8695652173913043,0.6666666666666666,0.9090909090909091,0.9090909090909091,1.0,0.48,0.9565217391304348,0.64,0.6086956521739131,0.5,0.8695652173913043,0.32558139534883723,0.9565217391304348,0.625,0.6666666666666666,0.9090909090909091
a raccoon exploring a trash bin in an alley next to a warning sign that says 'no feeding wildlife',0.8085106382978723,0.723404255319149,0.6792452830188679,0.7346938775510204,0.8260869565217391,0.76,0.7755102040816326,0.7755102040816326,0.7555555555555555,0.8085106382978723,0.8260869565217391,0.8571428571428571,0.7916666666666666,0.8780487804878049,0.26666666666666666,0.7916666666666666,0.6938775510204082,0.782608695652174,0.7391304347826086,0.8085106382978723,0.8085106382978723,0.6545454545454545,0.7727272727272727,0.76,0.7555555555555555
