prompt,layer_3,layer_24,layer_23,layer_4,layer_16,layer_11,layer_18,cfg,layer_19,layer_10,layer_17,layer_22,layer_5,layer_2,layer_25,layer_14,layer_13,layer_1,layer_26,layer_21,layer_6,layer_8,layer_9,layer_20,layer_7,layer_0,layer_27,layer_12,layer_15
a gym towel with 'Fitness Club' on it,0.0,0.2222222222222222,0.23529411764705882,0.23529411764705882,0.2222222222222222,0.2222222222222222,0.25,0.2222222222222222,0.23529411764705882,0.2608695652173913,0.2,0.13333333333333333,0.14814814814814814,0.0,0.07407407407407407,0.23076923076923078,0.14285714285714285,0.0,0.125,0.11764705882352941,0.23529411764705882,0.2,0.08695652173913043,0.16,0.2857142857142857,0.0,0.2,0.27586206896551724,0.2222222222222222
a trophy engraved with 'First Place',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0
a luggage tag that says 'Vacation Bound',0.32432432432432434,0.15384615384615385,0.25,0.17391304347826086,0.2962962962962963,0.3018867924528302,0.09523809523809523,0.2,0.1935483870967742,0.17647058823529413,0.2857142857142857,0.13953488372093023,0.3333333333333333,0.0,0.24489795918367346,0.35714285714285715,0.34782608695652173,0.0,0.0,0.24390243902439024,0.09523809523809523,0.15789473684210525,0.16,0.3333333333333333,0.15384615384615385,0.0,0.0,0.15789473684210525,0.16
a menu board outside a small street café displaying the phrase 'fresh soup today',0.032432432432432434,0.11594202898550725,0.24390243902439024,0.21052631578947367,0.10526315789473684,0.09302325581395349,0.07453416149068323,0.10416666666666667,0.10891089108910891,0.024691358024691357,0.09937888198757763,0.09803921568627451,0.08092485549132948,0.0,0.10606060606060606,0.08333333333333333,0.10695187165775401,0.0,0.0,0.06666666666666667,0.22641509433962265,0.12903225806451613,0.10582010582010581,0.07368421052631578,0.14893617021276595,0.0,0.0,0.044444444444444446,0.05925925925925926
a brown cardboard box on a tiled floor with a label that says 'books',0.11764705882352941,0.15384615384615385,0.0,0.3076923076923077,0.25,0.09090909090909091,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.1,0.18181818181818182,0.0,0.0,0.25,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
a manual reading 'User Guide',0.0,0.0,0.0,0.0,0.016203703703703703,0.03368421052631579,0.0,0.018867924528301886,0.0,0.031055900621118012,0.0111731843575419,0.0,0.0,0.0,0.0,0.043859649122807015,0.03460207612456748,0.0,0.0,0.03294117647058824,0.0,0.016632016632016633,0.04081632653061224,0.02511773940345369,0.0,0.0,0.0,0.019543973941368076,0.13333333333333333
a prescription labeled 'Take twice daily',0.0,0.021897810218978103,0.0,0.1258741258741259,0.05263157894736842,0.036605657237936774,0.035830618892508145,0.04819277108433735,0.034375,0.0502283105022831,0.03678929765886288,0.0379746835443038,0.037037037037037035,0.0,0.0,0.03,0.04173354735152488,0.0,0.0,0.027510316368638238,0.03910614525139665,0.052845528455284556,0.03935599284436494,0.023668639053254437,0.036418816388467376,0.0,0.0,0.0374414976599064,0.041379310344827586
a pencil case with 'Art Supplies' written on it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a laptop sticker that says 'Code Life',0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.4,0.15384615384615385,0.0
a backpack with 'School Pride' written on it,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.32,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0
a bumper sticker reading 'Road Trip',0.25,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.125,0.0,0.10526315789473684,0.2608695652173913,0.15384615384615385,0.0,0.0,0.09523809523809523,0.0,0.18181818181818182,0.0,0.0,0.14285714285714285,0.0,0.13333333333333333,0.15384615384615385,0.125,0.0,0.0,0.0,0.35294117647058826,0.0
a certificate reading 'Certificate of Achievement',0.06732673267326733,0.3235294117647059,0.1702127659574468,0.04819277108433735,0.02972972972972973,0.044182621502209134,0.17094017094017094,0.05621301775147929,0.10526315789473684,0.03636363636363636,0.05006954102920723,0.0,0.021686746987951807,0.0,0.16666666666666666,0.029493087557603687,0.04914004914004914,0.0,0.0,0.0947867298578199,0.13793103448275862,0.03592814371257485,0.037641154328732745,0.08089887640449438,0.06701940035273368,0.0,0.0,0.06042296072507553,0.03805496828752643
a child building a sandcastle on the beach next to a plastic bucket with the word 'castle kit',0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a guitar resting on a couch in a music studio with a case labeled 'fragile - instruments',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27586206896551724,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A wall with the word 'PEACE' in a complex, colorful, bubble-letter graffiti style.",0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0
