prompt,layer_9,layer_0,layer_7,layer_10,layer_17,layer_6,layer_1,layer_8,layer_18,layer_16,layer_11,cfg,layer_12,layer_15,layer_2,layer_5,layer_14,layer_13,layer_4,layer_3
a label that says 'Organic',1.0,0.875,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0
A person holding a protest sign that reads 'PEACE NOW'.,1.0,0.391304347826087,0.9,1.0,1.0,1.0,0.9,1.0,1.0,0.6666666666666666,1.0,0.9,1.0,0.9,0.8571428571428571,0.9473684210526315,1.0,1.0,0.9,0.9
A close-up of a person's forearm with a tattoo of a quote.,0.24793388429752067,0.22784810126582278,0.22764227642276422,0.192,0.3076923076923077,0.23809523809523808,0.2077922077922078,0.27419354838709675,0.2882882882882883,0.23076923076923078,0.23529411764705882,0.26865671641791045,0.12612612612612611,0.3103448275862069,0.0967741935483871,0.16393442622950818,0.34951456310679613,0.35294117647058826,0.13793103448275862,0.34951456310679613
a construction worker operating a crane wearing a helmet labeled 'SAFETY FIRST',0.7058823529411765,0.17142857142857143,1.0,0.5,0.8888888888888888,0.9166666666666666,0.7096774193548387,0.3333333333333333,1.0,0.5185185185185185,1.0,0.5106382978723404,0.10526315789473684,0.7741935483870968,0.0,1.0,0.6666666666666666,0.23076923076923078,0.6153846153846154,0.5714285714285714
a package with 'Express Delivery' on it,0.8,0.8,0.8205128205128205,0.42424242424242425,0.32653061224489793,0.5,0.0,0.9696969696969697,0.9375,0.23255813953488372,0.4166666666666667,0.5,0.5,0.5,0.0,0.9090909090909091,0.5,0.5,0.26506024096385544,1.0
a t-shirt that says 'Surfing USA',0.0,0.8333333333333334,0.0,0.42857142857142855,0.08695652173913043,0.0,1.0,0.0,0.2857142857142857,0.7,0.0,0.42857142857142855,0.42857142857142855,0.0,0.42857142857142855,0.0,1.0,0.0,0.0,0.0
an instruction sheet titled 'Assembly Guide',0.0731070496083551,1.0,0.023608768971332208,0.03784570596797671,0.038461538461538464,0.020275162925416364,0.7857142857142857,0.11711711711711711,0.08284023668639054,0.02178988326848249,0.06436781609195402,0.032953105196451206,0.04326123128119801,0.022453889334402566,0.0,0.051756007393715345,0.0448,0.056910569105691054,0.058577405857740586,0.0436817472698908
"A page from a novel, filled with dense paragraphs of text.",0.045413260672116255,0.0,0.07017543859649122,0.058419243986254296,0.041970802919708027,0.03933910306845004,0.0,0.07643312101910828,0.0,0.05874125874125874,0.0456140350877193,0.03502626970227671,0.050462573591253154,0.0601640838650866,0.0,0.0835030549898167,0.049586776859504134,0.056414922656960874,0.058319039451114926,0.03642987249544627
a form titled 'Job Application',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a sticky note with 'Call Mom' written on it,1.0,1.0,1.0,1.0,1.0,1.0,0.47058823529411764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
a mousepad that says 'Game On',0.5714285714285714,1.0,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.6666666666666666,0.9333333333333333,0.5714285714285714,1.0,0.42424242424242425,0.5333333333333333,0.5714285714285714,0.5714285714285714,0.8571428571428571,1.0,0.7,0.5217391304347826,0.5714285714285714,1.0,0.75
a stack of magazines on a coffee table with one cover showing the title 'travel weekly',0.3673469387755102,0.46511627906976744,0.15602836879432624,0.32653061224489793,0.14678899082568808,0.1388888888888889,0.4444444444444444,0.1346153846153846,0.1206896551724138,0.20408163265306123,0.2191780821917808,0.28205128205128205,0.1368421052631579,0.32,0.3157894736842105,0.125,0.1951219512195122,0.6666666666666666,0.42105263157894735,0.23728813559322035
"a courtroom with wooden benches, flags, and high ceilings with a plaque above the judge's bench that reads 'in justice we trust'",0.29411764705882354,0.14285714285714285,0.25806451612903225,0.2926829268292683,0.2857142857142857,0.3076923076923077,0.2564102564102564,0.2631578947368421,0.3157894736842105,0.3333333333333333,0.2631578947368421,0.25,0.13333333333333333,0.3157894736842105,0.1875,0.21052631578947367,0.2857142857142857,0.2033898305084746,0.3076923076923077,0.3181818181818182
a folder labeled 'Important Documents',0.9743589743589743,1.0,1.0,1.0,1.0,0.95,0.5,0.7727272727272727,0.7027027027027027,0.8947368421052632,1.0,1.0,0.55,0.4470588235294118,0.6060606060606061,1.0,0.9743589743589743,0.8837209302325582,0.9473684210526315,0.45714285714285713
a brochure titled 'Visit Paris',0.13559322033898305,0.11764705882352941,0.017761989342806393,0.008032128514056224,0.2857142857142857,0.0,0.6666666666666666,0.016025641025641024,0.0,0.016320474777448073,0.2222222222222222,0.020793950850661626,0.015613910574875798,0.036297640653357534,0.0,0.013043478260869565,0.1415929203539823,0.031007751937984496,0.08823529411764706,0.012658227848101266
